"","Control_1","Control_2","Control_3","Heat_treated_42_12h_1","Heat_treated_42_12h_2","Heat_treated_42_12h_3"
"g619",129.523493660935,85.766714907212,154.164557159951,351.510279686756,509.658194105553,234.978326369271
"g620",620.080977526368,583.766995013604,528.188795269604,943.18857769352,916.823142564535,853.297207070893
"g621",2.03974005765253,8.30000466843987,12.263089774087,0,0,1.71517026546913
"g624",7.13909020178384,1.84444548187553,4.37967491931678,1.84036795647516,0,4.28792566367283
"g625",146.861284150982,150.322306772855,181.318541659715,297.219424970739,193.754354783929,208.3931872545
"g626",1958.15045534642,2021.51224813558,1701.06573866264,1977.47536923256,2632.53199434686,2110.51701165977
"g627",88.7286925078849,156.77786595942,142.777402369727,140.78814867035,235.874866693479,164.656345485037
"g628",1169.79092306372,1256.98959589817,1394.48849431046,542.908547160173,826.966050490828,469.099067605808
"g629",1528.78517321057,2044.56781665902,1705.44541358195,979.075752844786,915.419125500883,702.36222370961
"g630",31.6159708936141,37.8111323784483,24.526179548174,43.2486469771663,14.0401706365166,23.1547985838333
"g631",1735.8187890623,204.733448488184,411.689442415777,1612.16232987224,2680.26857451102,608.027859108808
"g632",152.980504323939,28.5889049690707,35.0373993545343,87.4174779325702,130.573586919604,32.5882350439135
"g641",22.4371406341778,13.8333411140665,14.8908947256771,30.3660712818402,57.5646996097181,33.4458201766481
"g642",32.6358409224404,3.68889096375105,16.6427646934038,5.52110386942549,15.4441877001683,2.5727553982037
"g643",73.4306420754909,118.044510840034,102.484393112013,70.8541663242937,91.261109137358,66.0340552205616
"g644",422.226191934073,1811.24546320177,1402.37190916523,956.991337367084,1224.30287950425,782.975226186659
"g645",5.09935014413131,26.7444594871951,29.7817894513541,19.3238635429892,19.6562388911233,6.86068106187653
"g647",4344.64632279988,2537.95698306073,3059.6408986347,3760.79191905699,2928.77959477737,3723.63464633349
"g648",2.03974005765253,0,0,11.042207738851,32.2923924639882,18.0092877874259
"g649",47.9338913548343,77.4667102387721,90.2213033379257,40.4880950424536,37.9084607185949,45.452012034932
"g650",5.09935014413131,38.7333551193861,14.8908947256771,0,9.82811944556163,6.00309592914196
"g651",2.03974005765253,7.37778192750211,7.00747987090685,3.68073591295032,0,0
"g652",561.948385883271,399.322446826052,343.366513674436,162.872564148052,203.582474229491,129.495355042919
"g653",24.4768806918303,31.355573191884,13.1390247579503,21.1642314994644,8.42410238190997,5.1455107964074
"g654",8.1589602306101,5.53333644562658,9.63528482249692,2.76055193471274,7.02008531825831,5.1455107964074
"g655",42.834541210703,43.3444688240749,28.9058544674908,63.4926944983931,23.8682900820782,35.1609904421172
"g656",705.750059947774,456.500256764193,547.459364914598,630.326025092743,463.325631005048,389.343650261493
"g657",11.2185703170889,6.45555918656434,6.13154488704349,6.44128784766307,32.2923924639882,2.5727553982037
"g658",40.7948011530505,15.677786595942,7.88341485477021,1.84036795647516,9.82811944556163,17.1517026546913
"g660",2589.45000318988,1576.07866426264,1355.07142003661,1030.60605562609,911.207074309928,828.427238221591
"g661",588.465006632754,593.91144516392,453.734321641219,247.529490145909,331.348027021792,300.154796457098
"g662",0,19.366677559693,21.0224396127206,0,0,0
"g663",0,4.61111370468882,0.875934983863356,7.36147182590065,7.02008531825831,30.0154796457098
